Date,c1,c2,A,B,switch,c1_ret,c2_ret,rollex_ret,rollex_px
2005-01-03,103.1,105.25,1,0,0,,,,484.78915034014733
2005-01-04,101.45,103.7,1,0,0,-0.01600387972841888,-0.014726840855106893,-0.01600387972841888,477.03064308446125
2005-01-05,98.5,100.7,1,0,0,-0.02907836372597339,-0.028929604628736727,-0.02907836372597339,463.1593725364163
2005-01-06,96.8,99.1,1,0,0,-0.01725888324873104,-0.01588877855014903,-0.01725888324873104,455.1657590002547
2005-01-07,96.25,98.55,1,0,0,-0.005681818181818121,-0.0055499495459131465,-0.005681818181818121,452.579589915026
2005-01-10,95.6,97.9,1,0,0,-0.006753246753246844,-0.006595636732622978,-0.006753246753246844,449.5232082688466
2005-01-11,95.65,97.95,1,0,0,0.0005230125523014717,0.0005107252298264253,0.0005230125523014717,449.75831454932205
2005-01-12,98.85,101.15,1,0,0,0.03345530580240452,0.032669729453802976,0.03345530580240452,464.8051164997437
2005-01-13,101.1,103.35,1,0,0,0.022761760242792084,0.021749876421156555,0.022761760242792084,475.3848991211339
2005-01-14,100.1,102.35,1,0,0,-0.009891196834816984,-0.009675858732462461,-0.009891196834816984,470.68277351162715
2005-01-18,104.4,106.6,1,0,0,0.04295704295704317,0.04152418172936012,0.04295704295704317,490.9019136325063
2005-01-19,104.1,106.3,1,0,0,-0.00287356321839094,-0.0028142589118198558,-0.00287356321839094,489.4912759496542
2005-01-20,102.0,104.25,1,0,0,-0.020172910662824117,-0.019285042333019753,-0.020172910662824117,479.61681216969004
2005-01-21,103.25,105.5,1,0,0,0.01225490196078427,0.011990407673860837,0.01225490196078427,485.49446918157344
2005-01-24,104.65,106.9,1,0,0,0.013559322033898313,0.013270142180094924,0.013559322033898313,492.0774450348829
2005-01-25,105.75,108.1,1,0,0,0.010511227902532116,0.011225444340505097,0.010511227902532116,497.24978320534024
2005-01-26,105.1,107.45,1,0,0,-0.006146572104018921,-0.006012950971322817,-0.006146572104018921,494.19340155916086
2005-01-27,103.2,105.55,1,0,0,-0.01807802093244526,-0.01768264308980927,-0.01807802093244526,485.25936290109803
2005-01-28,105.3,107.65,1,0,0,0.02034883720930236,0.01989578398863112,0.02034883720930236,495.13382668106226
2005-01-31,105.35,107.7,1,0,0,0.0004748338081670411,0.0004644681839294229,0.0004748338081670411,495.36893296153755
2005-02-01,105.8,108.2,1,0,0,0.004271476032273291,0.00464252553389044,0.004271476032273291,497.48488948581553
2005-02-02,104.9,107.3,1,0,0,-0.008506616257088817,-0.008317929759704357,-0.008506616257088817,493.25297643725946
2005-02-03,105.3,107.7,1,0,0,0.0038131553860818457,0.0037278657968313755,0.0038131553860818457,495.13382668106215
